iteration,search_time,precision,recall,f1_score
1,0.03331464100028825,0.6,1.0,0.75
2,0.12527778999992734,0.6,1.0,0.75
3,0.041577644999961194,0.6,1.0,0.75
4,0.13232494499970926,0.6,1.0,0.75
5,0.07206176999989111,0.6,1.0,0.75
6,0.10048651499982952,0.6,1.0,0.75
7,0.06697511600032158,0.6,1.0,0.75
8,0.26742289400044683,0.6,1.0,0.75
9,0.14850625599956402,0.6,1.0,0.75
10,0.18463599699953193,0.6,1.0,0.75
11,0.22636487599993416,0.6,1.0,0.75
12,0.215055114000279,0.6,1.0,0.75
13,0.28245653699923423,0.6,1.0,0.75
14,0.27241984000011144,0.6,1.0,0.75
15,0.28262675200039666,0.6,1.0,0.75
16,0.2913514309993843,0.6,1.0,0.75
17,0.29403337099938653,0.6,1.0,0.75
18,0.609569663000002,0.6,1.0,0.75
19,0.33055713400062814,0.6,1.0,0.75
20,0.2740076810005121,0.6,1.0,0.75
21,0.27954377599962754,0.6,1.0,0.75
22,0.30613905300015176,0.6,1.0,0.75
23,0.30787990799944964,0.6,1.0,0.75
24,0.2857592320006006,0.6,1.0,0.75
25,0.28736087500055874,0.6,1.0,0.75
26,0.5071511129999635,0.6,1.0,0.75
27,0.3121647910002139,0.6,1.0,0.75
28,0.31978457200057164,0.6,1.0,0.75
29,0.3138218390004113,0.6,1.0,0.75
30,0.3220612750001237,0.6,1.0,0.75
31,0.5271617999997034,0.6,1.0,0.75
32,0.30388355099967157,0.6,1.0,0.75
33,0.3193408319993978,0.6,1.0,0.75
34,0.25379077599973243,0.6,1.0,0.75
35,0.3459966139998869,0.6,1.0,0.75
36,0.32742045400027564,0.6,1.0,0.75
37,0.35853953500009084,0.6,1.0,0.75
38,0.37127177200000006,0.6,1.0,0.75
39,0.4089989419999256,0.6,1.0,0.75
40,0.4095842950000588,0.6,1.0,0.75
41,0.46019381699989026,0.6,1.0,0.75
42,0.5024777949993222,0.6,1.0,0.75
43,0.5369147719993634,0.6,1.0,0.75
44,0.5631053119996068,0.6,1.0,0.75
45,0.583058193999932,0.6,1.0,0.75
46,0.6622498699998687,0.6,1.0,0.75
47,0.6692465950000042,0.6,1.0,0.75
48,0.6684097209999891,0.6,1.0,0.75
49,0.8294075060002797,0.6,1.0,0.75
50,0.6588279650004552,0.6,1.0,0.75
51,0.9722247660001813,0.6,1.0,0.75
52,0.2938975590004702,0.6,1.0,0.75
53,0.2971169470001769,0.6,1.0,0.75
54,0.17838903899973957,0.6,1.0,0.75
55,1.1372736120001719,0.6,1.0,0.75
56,1.4188808730004894,0.6,1.0,0.75
57,1.0703415320003842,0.6,1.0,0.75
58,1.2406425480003236,0.6,1.0,0.75
59,0.9843985540001086,0.6,1.0,0.75
60,1.1181011999997281,0.6,1.0,0.75
61,1.1407565230001637,0.6,1.0,0.75
62,0.8972703680001359,0.6,1.0,0.75
63,0.6583556219993625,0.6,1.0,0.75
64,0.6136087239992776,0.6,1.0,0.75
65,0.6670770020000418,0.6,1.0,0.75
66,1.26719932099968,0.6,1.0,0.75
67,0.916623697000432,0.6,1.0,0.75
68,1.7464928439994765,0.6,1.0,0.75
69,1.1672076859995286,0.6,1.0,0.75
70,0.7902621069997622,0.6,1.0,0.75
71,0.9284586550002132,0.6,1.0,0.75
72,0.9097436829997605,0.6,1.0,0.75
73,0.9456013870003517,0.6,1.0,0.75
74,0.9924763750004786,0.6,1.0,0.75
75,0.950194897000074,0.6,1.0,0.75
76,1.0502834389999407,0.6,1.0,0.75
77,1.1275900470000124,0.6,1.0,0.75
78,1.1554850399998031,0.6,1.0,0.75
79,0.9739032160005081,0.6,1.0,0.75
80,1.1362936250006896,0.6,1.0,0.75
81,1.213488521999352,0.6,1.0,0.75
82,0.3093961439999475,0.6,1.0,0.75
83,1.1469670779997614,0.6,1.0,0.75
84,1.160974829999759,0.6,1.0,0.75
85,1.1638973910003187,0.6,1.0,0.75
86,1.6610343089996604,0.6,1.0,0.75
87,1.266302240999721,0.6,1.0,0.75
88,1.2081146420005098,0.6,1.0,0.75
89,1.082053578000341,0.6,1.0,0.75
90,0.8755957319999652,0.6,1.0,0.75
91,1.036837738000031,0.6,1.0,0.75
92,1.0593543499999214,0.6,1.0,0.75
93,1.7343948640000235,0.6,1.0,0.75
94,1.1997956979994342,0.6,1.0,0.75
95,1.7466381569993246,0.6,1.0,0.75
96,1.197834223999962,0.6,1.0,0.75
97,0.5553160159997788,0.6,1.0,0.75
98,1.254528688999926,0.6,1.0,0.75
99,0.38706558299963945,0.6,1.0,0.75
100,1.1383552090001103,0.6,1.0,0.75
search_time_mean,0.6839666840299742
search_time_std,0.43832631388583576
search_time_p90,1.208652030000394
search_time_p95,1.27478339859972
search_time_p99,1.746494297129475
rps,13.136003074377463
total_time,7.612665697000011
successful_requests,100.0
