iteration,search_time,precision,recall,f1_score
1,0.009352242001114064,1.0,1.0,1.0
2,0.00910180900064006,1.0,1.0,1.0
3,0.007761931999993976,1.0,1.0,1.0
4,0.004593210000166437,1.0,1.0,1.0
5,0.010565204000158701,1.0,1.0,1.0
6,0.0075442029992700554,1.0,1.0,1.0
7,0.006467359000453143,1.0,1.0,1.0
8,0.007926152999061742,1.0,1.0,1.0
9,0.007642516000487376,1.0,1.0,1.0
10,0.00448849600070389,1.0,1.0,1.0
11,0.004022633998829406,1.0,1.0,1.0
12,0.005527235000045039,1.0,1.0,1.0
13,0.004624915000022156,1.0,1.0,1.0
14,0.0097838990004675,1.0,1.0,1.0
15,0.005344809998860001,1.0,1.0,1.0
16,0.0034412570003041765,1.0,1.0,1.0
17,0.009612577001462341,1.0,1.0,1.0
18,0.004120847001104266,1.0,1.0,1.0
19,0.0033337429995299317,1.0,1.0,1.0
20,0.006495863000964164,1.0,1.0,1.0
21,0.0073960829995485255,1.0,1.0,1.0
22,0.002256199999465025,1.0,1.0,1.0
23,0.006029400999977952,1.0,1.0,1.0
24,0.005443623000246589,1.0,1.0,1.0
25,0.005680254000253626,1.0,1.0,1.0
26,0.004150251999817556,1.0,1.0,1.0
27,0.005143284000951098,1.0,1.0,1.0
28,0.004759531999297906,1.0,1.0,1.0
29,0.003690289999212837,1.0,1.0,1.0
30,0.0030068999985815026,1.0,1.0,1.0
31,0.010008029999880819,1.0,1.0,1.0
32,0.009489661000770866,1.0,1.0,1.0
33,0.009990627000661334,1.0,1.0,1.0
34,0.008813671000098111,1.0,1.0,1.0
35,0.004066139999849838,1.0,1.0,1.0
36,0.003482062998955371,1.0,1.0,1.0
37,0.004162852999797906,1.0,1.0,1.0
38,0.0031723219999548746,1.0,1.0,1.0
39,0.0035600729988800595,1.0,1.0,1.0
40,0.0031060130004334496,1.0,1.0,1.0
41,0.002982295998663176,1.0,1.0,1.0
42,0.0031418170001416,1.0,1.0,1.0
43,0.006031001999872387,1.0,1.0,1.0
44,0.003435556000113138,1.0,1.0,1.0
45,0.003615679999711574,1.0,1.0,1.0
46,0.004060639999806881,1.0,1.0,1.0
47,0.002411920000668033,1.0,1.0,1.0
48,0.008050069000091753,1.0,1.0,1.0
49,0.0053429099989443785,1.0,1.0,1.0
50,0.004963659999702941,1.0,1.0,1.0
51,0.007156450999900699,1.0,1.0,1.0
52,0.006139915998573997,1.0,1.0,1.0
53,0.020522026999969967,1.0,1.0,1.0
54,0.0044887960011692485,1.0,1.0,1.0
55,0.002614847000586451,1.0,1.0,1.0
56,0.012371844000881538,1.0,1.0,1.0
57,0.018508458999349386,1.0,1.0,1.0
58,0.002627550000397605,1.0,1.0,1.0
59,0.0022798030004196335,1.0,1.0,1.0
60,0.02910966799936432,1.0,1.0,1.0
61,0.004304071999285952,1.0,1.0,1.0
62,0.005219693999606534,1.0,1.0,1.0
63,0.008367611999346991,1.0,1.0,1.0
64,0.011197387999345665,1.0,1.0,1.0
65,0.00341995500093617,1.0,1.0,1.0
66,0.01301763000083156,1.0,1.0,1.0
67,0.024547061000703252,1.0,1.0,1.0
68,0.015968322000844637,1.0,1.0,1.0
69,0.012236725999173359,1.0,1.0,1.0
70,0.013405580999460653,1.0,1.0,1.0
71,0.012738093000734807,1.0,1.0,1.0
72,0.005042469998443266,1.0,1.0,1.0
73,0.0032174269999813987,1.0,1.0,1.0
74,0.002888184000767069,1.0,1.0,1.0
75,0.012081504999514436,1.0,1.0,1.0
76,0.0028928840001753997,1.0,1.0,1.0
77,0.004552405000140425,1.0,1.0,1.0
78,0.003786604000197258,1.0,1.0,1.0
79,0.002251399999295245,1.0,1.0,1.0
80,0.002636649998748908,1.0,1.0,1.0
81,0.0021839910004928242,1.0,1.0,1.0
82,0.0028621799992833985,1.0,1.0,1.0
83,0.004037536000396358,1.0,1.0,1.0
84,0.022022626000762102,1.0,1.0,1.0
85,0.002583843999673263,1.0,1.0,1.0
86,0.0026464510010555387,1.0,1.0,1.0
87,0.0023017059993435396,1.0,1.0,1.0
88,0.007994862000487046,1.0,1.0,1.0
89,0.003112213000349584,1.0,1.0,1.0
90,0.0038345089997164905,1.0,1.0,1.0
91,0.004620713998519932,1.0,1.0,1.0
92,0.003142617999401409,1.0,1.0,1.0
93,0.0031461180005862843,1.0,1.0,1.0
94,0.012461154999982682,1.0,1.0,1.0
95,0.00285157899998012,1.0,1.0,1.0
96,0.014526229999319185,1.0,1.0,1.0
97,0.003908418999344576,1.0,1.0,1.0
98,0.013553601000239723,1.0,1.0,1.0
99,0.0174495190003654,1.0,1.0,1.0
100,0.004875847000221256,1.0,1.0,1.0
search_time_mean,0.00686900467995656
search_time_std,0.005137157630006087
search_time_p90,0.013056425100694472
search_time_p95,0.017502466000314597
search_time_p99,0.024592687070689886
rps,73.91317664093722
total_time,1.3529387389990006
successful_requests,100.0
