iteration,search_time,precision,recall,f1_score
1,0.2555927009998413,0.6,1.0,0.75
2,0.27499963700029184,0.6,1.0,0.75
3,0.253362315999766,0.6,1.0,0.75
4,0.34092063999923994,0.6,1.0,0.75
5,0.32066137099991465,0.6,1.0,0.75
6,0.2808469600004173,0.6,1.0,0.75
7,0.43643276400052855,0.6,1.0,0.75
8,1.0117872029995851,0.6,1.0,0.75
9,1.0081641649994708,0.6,1.0,0.75
10,1.009929232000104,0.6,1.0,0.75
11,1.0581875640000362,0.6,1.0,0.75
12,1.1108890639998208,0.6,1.0,0.75
13,1.0357900140006677,0.6,1.0,0.75
14,1.1184673509997083,0.6,1.0,0.75
15,1.0569709179999336,0.6,1.0,0.75
16,1.120028409999577,0.6,1.0,0.75
17,1.098033975999897,0.6,1.0,0.75
18,1.1010004879999542,0.6,1.0,0.75
19,1.323684740000317,0.6,1.0,0.75
20,1.2194489849998718,0.6,1.0,0.75
21,1.0864046349997807,0.6,1.0,0.75
22,1.5314013249999334,0.6,1.0,0.75
23,1.2736548419998144,0.6,1.0,0.75
24,1.3368368399997053,0.6,1.0,0.75
25,1.3293899569998757,0.6,1.0,0.75
26,1.1798623819995555,0.6,1.0,0.75
27,1.549422107999817,0.6,1.0,0.75
28,1.3571640109994405,0.6,1.0,0.75
29,1.2615673829996013,0.6,1.0,0.75
30,1.1688938659999621,0.6,1.0,0.75
31,1.2010510860000068,0.6,1.0,0.75
32,1.3078601399993204,0.6,1.0,0.75
33,1.3004474580002352,0.6,1.0,0.75
34,1.4600414149999779,0.6,1.0,0.75
35,1.3423203479997028,0.6,1.0,0.75
36,1.3408258909994402,0.6,1.0,0.75
37,1.3638482650003425,0.6,1.0,0.75
38,1.2900281629999881,0.6,1.0,0.75
39,1.0454942819997086,0.6,1.0,0.75
40,1.422086075000152,0.6,1.0,0.75
41,0.9818762669992793,0.6,1.0,0.75
42,0.9851790920001804,0.6,1.0,0.75
43,0.9321673799995551,0.6,1.0,0.75
44,1.2321821670002464,0.6,1.0,0.75
45,1.467283091000354,0.6,1.0,0.75
46,1.4769896589996279,0.6,1.0,0.75
47,1.5121466929995222,0.6,1.0,0.75
48,1.345927985000344,0.6,1.0,0.75
49,1.3804160939998837,0.6,1.0,0.75
50,1.4102915280000161,0.6,1.0,0.75
51,0.12743133599997236,0.6,1.0,0.75
52,1.2932822860002489,0.6,1.0,0.75
53,0.9713057650005794,0.6,1.0,0.75
54,0.4279764439997962,0.6,1.0,0.75
55,0.49168156199993973,0.6,1.0,0.75
56,1.5453368529997533,0.6,1.0,0.75
57,1.3496280249992196,0.6,1.0,0.75
58,0.13162909600032435,0.6,1.0,0.75
59,1.1171123000003718,0.6,1.0,0.75
60,0.17979252399982215,0.6,1.0,0.75
61,0.8733199469997999,0.6,1.0,0.75
62,0.3046319630002472,0.6,1.0,0.75
63,1.3552858399998513,0.6,1.0,0.75
64,0.10283830400021543,0.6,1.0,0.75
65,0.08809064300021419,0.6,1.0,0.75
66,0.15076662200044666,0.6,1.0,0.75
67,0.07706532500014873,0.6,1.0,0.75
68,0.16624241000045004,0.6,1.0,0.75
69,0.06779417300003843,0.6,1.0,0.75
70,0.08832185200026288,0.6,1.0,0.75
71,0.07250755299992306,0.6,1.0,0.75
72,0.4012278290001632,0.6,1.0,0.75
73,0.06720045100064453,0.6,1.0,0.75
74,0.45611791200008156,0.6,1.0,0.75
75,0.4318069889995968,0.6,1.0,0.75
76,0.11815578400000959,0.6,1.0,0.75
77,0.6311363539998638,0.6,1.0,0.75
78,0.10503448700001172,0.6,1.0,0.75
79,0.20665744400048425,0.6,1.0,0.75
80,0.5028360860005705,0.6,1.0,0.75
81,0.47411149500021565,0.6,1.0,0.75
82,0.5527084779996585,0.6,1.0,0.75
83,0.6377318049999303,0.6,1.0,0.75
84,0.6557279879998532,0.6,1.0,0.75
85,0.5843830799994976,0.6,1.0,0.75
86,0.6144478220003293,0.6,1.0,0.75
87,0.7510523060000196,0.6,1.0,0.75
88,0.6262029669996991,0.6,1.0,0.75
89,0.5505587959996774,0.6,1.0,0.75
90,0.5935122270002466,0.6,1.0,0.75
91,0.6865199559997563,0.6,1.0,0.75
92,0.635787232000439,0.6,1.0,0.75
93,0.6082164849995024,0.6,1.0,0.75
94,0.6524697639997612,0.6,1.0,0.75
95,0.612824360000559,0.6,1.0,0.75
96,0.5796491010005411,0.6,1.0,0.75
97,0.5119877329998417,0.6,1.0,0.75
98,0.5636072920005972,0.6,1.0,0.75
99,0.5471244659993317,0.6,1.0,0.75
100,0.4869156810000277,0.6,1.0,0.75
search_time_mean,0.8113601211999685
search_time_std,0.4648919596502421
search_time_p90,1.3655050479002968
search_time_p95,1.4677684194003178
search_time_p99,1.545377705549754
rps,18.9052214447371
total_time,5.289543965000121
successful_requests,100.0
