iteration,search_time,precision,recall,f1_score
1,0.12593062499945518,0.6,1.0,0.75
2,0.13632727000003797,0.6,1.0,0.75
3,0.13936971700059075,0.6,1.0,0.75
4,0.13223453699902166,0.6,1.0,0.75
5,0.14021318499908375,0.6,1.0,0.75
6,0.12514136100071482,0.6,1.0,0.75
7,0.13845564199982618,0.6,1.0,0.75
8,0.10915986299914948,0.6,1.0,0.75
9,0.09238950200051477,0.6,1.0,0.75
10,0.14751937799883308,0.6,1.0,0.75
11,0.09474679300001299,0.6,1.0,0.75
12,0.1240378709990182,0.6,1.0,0.75
13,0.0933715810006106,0.6,1.0,0.75
14,0.0895014670004457,0.6,1.0,0.75
15,0.13337443000091298,0.6,1.0,0.75
16,0.11532836399965163,0.6,1.0,0.75
17,0.1439834909997444,0.6,1.0,0.75
18,0.0905514519999997,0.6,1.0,0.75
19,0.10993492599845922,0.6,1.0,0.75
20,0.14475345400023798,0.6,1.0,0.75
21,0.09343438599898946,0.6,1.0,0.75
22,0.08956887300155358,0.6,1.0,0.75
23,0.11254673800067394,0.6,1.0,0.75
24,0.1452659959995799,0.6,1.0,0.75
25,0.09482860000025539,0.6,1.0,0.75
26,0.09063275900007284,0.6,1.0,0.75
27,0.08843858000000182,0.6,1.0,0.75
28,0.3145184369986964,0.6,1.0,0.75
29,0.09441726600016409,0.6,1.0,0.75
30,0.09989141100049892,0.6,1.0,0.75
31,0.09872701700078323,0.6,1.0,0.75
32,0.09474689300077443,0.6,1.0,0.75
33,0.10093669600064459,0.6,1.0,0.75
34,0.11146335100056604,0.6,1.0,0.75
35,0.0958399820010527,0.6,1.0,0.75
36,0.09867651300010039,0.6,1.0,0.75
37,0.2216757990008773,0.6,1.0,0.75
38,0.11221301200021117,0.6,1.0,0.75
39,0.33079735899991647,0.6,1.0,0.75
40,0.2200553669990768,0.6,1.0,0.75
41,0.1541667180008517,0.6,1.0,0.75
42,0.09836908699980995,0.6,1.0,0.75
43,0.1704742410001927,0.6,1.0,0.75
44,0.20025315999919258,0.6,1.0,0.75
45,0.11088330299935478,0.6,1.0,0.75
46,0.27157165099924896,0.6,1.0,0.75
47,0.17547244700108422,0.6,1.0,0.75
48,0.19075608899947838,0.6,1.0,0.75
49,0.29506585799936147,0.6,1.0,0.75
50,0.17746500999965065,0.6,1.0,0.75
51,0.24966847300129302,0.6,1.0,0.75
52,0.34639312500075903,0.6,1.0,0.75
53,0.5496786319999956,0.6,1.0,0.75
54,0.6508370449992071,0.6,1.0,0.75
55,0.48544711700014886,0.6,1.0,0.75
56,0.5284983120000106,0.6,1.0,0.75
57,0.42838968300020497,0.6,1.0,0.75
58,0.47996607099958055,0.6,1.0,0.75
59,0.4647618369999691,0.6,1.0,0.75
60,0.4939967110003636,0.6,1.0,0.75
61,0.579160925000906,0.6,1.0,0.75
62,0.5640200960006041,0.6,1.0,0.75
63,0.5258411969989538,0.6,1.0,0.75
64,0.4012070759999915,0.6,1.0,0.75
65,0.44971931600048265,0.6,1.0,0.75
66,0.4255142500005604,0.6,1.0,0.75
67,0.4201697160006006,0.6,1.0,0.75
68,0.2645901830001094,0.6,1.0,0.75
69,0.19905376200040337,0.6,1.0,0.75
70,0.4057506450008077,0.6,1.0,0.75
71,0.5244252820011752,0.6,1.0,0.75
72,0.48966295900027035,0.6,1.0,0.75
73,0.4508741089994146,0.6,1.0,0.75
74,0.3770056109988218,0.6,1.0,0.75
75,0.31524949699996796,0.6,1.0,0.75
76,0.3440582359999098,0.6,1.0,0.75
77,0.20486293400063005,0.6,1.0,0.75
78,0.4233760759998404,0.6,1.0,0.75
79,0.2790576589995908,0.6,1.0,0.75
80,0.28599672200107307,0.6,1.0,0.75
81,0.35218369600079313,0.6,1.0,0.75
82,0.24229717299931508,0.6,1.0,0.75
83,0.1853709520000848,0.6,1.0,0.75
84,0.2333985510013008,0.6,1.0,0.75
85,0.32846136999978626,0.6,1.0,0.75
86,0.15017719300158205,0.6,1.0,0.75
87,0.19816469099896494,0.6,1.0,0.75
88,0.20615453900063585,0.6,1.0,0.75
89,0.20623464600066654,0.6,1.0,0.75
90,0.2814231510001264,0.6,1.0,0.75
91,0.23919462199955888,0.6,1.0,0.75
92,0.18841159799922025,0.6,1.0,0.75
93,0.24387850200037064,0.6,1.0,0.75
94,0.19747253400055342,0.6,1.0,0.75
95,0.20243473699883907,0.6,1.0,0.75
96,0.3323005820002436,0.6,1.0,0.75
97,0.24521341099898564,0.6,1.0,0.75
98,0.28671938099978433,0.6,1.0,0.75
99,0.4647543360006239,0.6,1.0,0.75
100,0.3644173890006641,0.6,1.0,0.75
search_time_mean,0.2473537381900678
search_time_std,0.14668331813738175
search_time_p90,0.48051417559963744
search_time_p95,0.5259740527490067
search_time_p99,0.5798776862008894
rps,67.24907779813158
total_time,1.487009238999235
successful_requests,100.0
